width,pitch,height,ca_int_deg,shape,ca_exp_deg,ca_wz_deg,ca_cb_deg
8.09,8.09,30.8,62,rec,159,0,129.2445829
14.71,16.18,31.7,62,rec,157,0,131.817868
30.88,32.35,33,62,rec,157,0,130.5050468
20.59,20.59,30.7,62,rec,157,0,129.2445829
20.59,25,30.5,62,rec,157,0,134.4484219
20.59,30.88,31.7,62,rec,156,21.2279761,139.8926591
20.59,34.56,32,62,rec,156,28.803772,142.6717932
9.56,25,30.1,62,rec,157,22.79511998,152.567942
14.71,25.74,30.3,62,rec,157,11.18058801,143.6745938
23.53,25.74,32.4,62,rec,156,0,131.6707779
24.26,16.91,33,62,rec,155,0,119.3243031
39.71,41.18,33.2,62,rec,155,32.02224026,130.230412
9.56,5.15,30,62,rec,153,0,112.2929954
19.12,6.62,30,62,rec,152,0,100.9054323
27.94,11.03,30,62,rec,152,0,104.1606426
38.24,5.15,30,62,rec,150,0,81.87420857
48.53,11.03,30,62,rec,151,0,91.39807868
100,5.15,30,62,rec,147,11.76161459,70.78863184
8.09,8.09,30.8,106,rec,160,0,144.975763
14.71,16.18,31.7,106,rec,158,144.5325751,146.692428
30.88,32.35,33,106,rec,157,123.8252,145.8153997
20.59,20.59,30.7,106,rec,157,133.3628926,144.975763
20.59,25,30.5,106,rec,157,127.5005013,148.4571647
20.59,30.88,31.7,106,rec,157,123.1809254,152.1384511
20.59,34.56,32,106,rec,158,120.9627584,154.0313022
9.56,25,30.1,106,rec,162,122.769866,160.8342201
14.71,25.74,30.3,106,rec,159,125.168258,154.7163776
23.53,25.74,32.4,106,rec,158,128.4546796,146.5940395
24.26,16.91,33,106,rec,157,142.7878313,138.4587127
39.71,41.18,33.2,106,rec,156,119.8537219,145.6322523
9.56,5.15,30,106,rec,157,0,133.9517855
19.12,6.62,30,106,rec,155,0,126.8926665
27.94,11.03,30,106,rec,154,152.1497308,128.8771654
38.24,5.15,30,106,rec,151,161.3455837,115.937053
48.53,11.03,30,106,rec,151,136.7306122,121.2709748
100,5.15,30,106,rec,148,125.0853091,110.1729391
2.44,2.56,2,107,rec,150,121.3762336,146.2513361
2.67,2.33,2,107,rec,148,122.8317615,142.9600358
3.21,1.79,2,107,rec,146,126.3485532,135.1001018
3.36,1.64,2,107,rec,146.6,127.3534172,132.8785349
3.52,1.48,2,107,rec,147,128.440325,130.4879488
3.83,1.17,2,107,rec,145,130.5945858,125.7884986
4.39,0.61,2,107,rec,143,134.6758851,117.032811
4.93,0.07,2,107,rec,110,138.9046993,108.1826116
1.86,3.14,5,107,rec,149,136.6706043,154.4322467
2.69,2.31,5,107,rec,149,157.154572,142.6723772
3.18,1.82,5,107,rec,147,0,135.5422564
3.36,1.64,5,107,rec,145.5,0,132.8785349
3.44,1.56,5,107,rec,145,0,131.686038
3.86,1.14,5,107,rec,145,0,125.3285943
4.17,0.83,5,107,rec,143,0,120.5177251
4.84,0.16,5,107,rec,115,0,109.6902658
4.93,0.07,5,107,rec,107,0,108.1826116
10,10,20,120,rec,151.5,0,151.0449756
10,15,20,120,rec,154.5,0,156.9260819
10,20,20,120,rec,156.9,160.8118635,160.8118635
10,35,20,120,rec,156.5,134.229239,167.2412596
10,55,20,120,rec,161.7,126.4894354,171.1765484
3.56,9.95,2.22,110,rec,111.8,113.6568851,162.6137425
3.56,9.95,3.33,110,rec,118.1,115.523285,162.6137425
5.12,10.18,2.5,110,rec,119.5,114.6343957,157.8677318
5.36,10.12,5.13,110,rec,131.2,119.9340535,157.0894795
5.45,9.5,8.82,110,rec,151.8,129.5131407,155.8611884
9.76,10.18,5.43,110,rec,136,121.6259995,147.390349
9.9,10.12,9.97,110,rec,149.3,132.760096,147.0452505
10.9,9.62,20.63,110,rec,151.3,0,144.5224698
20.26,9.5,6.33,110,rec,143.8,122.6919576,134.0313702
20.07,10.23,19.12,110,rec,144.4,156.0419797,135.3421238
3.56,9.95,2.22,79.4,rec,92.7,77.53682741,156.6051447
3.56,9.95,3.33,79.4,rec,107.5,76.60032455,156.6051447
5.12,10.18,2.5,79.4,rec,104.7,77.04503857,150.1597435
5.36,10.12,5.13,79.4,rec,115.5,74.43195525,149.0988429
5.45,9.5,8.82,79.4,rec,116.6,69.98890743,147.4218788
9.76,10.18,5.43,79.4,rec,136,73.61876518,135.7539248
9.9,10.12,9.97,79.4,rec,149.3,68.58292325,135.2741169
10.9,9.62,20.63,79.4,rec,151.3,54.76731597,131.7540274
20.26,9.5,6.33,79.4,rec,143.8,73.11222015,116.8261538
20.07,10.23,19.12,79.4,rec,144.4,60.56081955,118.7213612
23.7,79.8,28.55,114,rec,152.5,120.6306689,165.6714686
22.9,44.2,27.59,114,rec,149.5,129.4230735,158.5756607
22.7,28.7,27.35,114,rec,148.3,142.0977052,152.1642058
23.4,16.8,28.19,114,rec,147.1,0,143.0333448
23.3,8.6,28.07,114,rec,147.2,0,133.1175093
50,100,10,114,rec,138,116.288485,159.080314
50,100,36,114,rec,155,122.4723384,159.080314
50,100,148,114,rec,151,160.3597033,159.080314
50,100,282,114,rec,153,0,159.080314
30.1,23.9,51.3,105.8,rec,140,148.1041703,140.7049816
40.4,25.6,51.3,105.8,rec,136.9,142.2292507,136.6629358
50.6,27.9,51.3,105.8,rec,134,136.9753715,134.2378801
5,2.5,2,109.5,rec,140,124.8325955,134.7418873
5,5,2,109.5,rec,144,117.8610944,146.4549627
5,10,2,109.5,rec,150,113.1506629,157.816376
5,20,2,109.5,rec,116,110.8038942,166.7432562
5,30,2,109.5,rec,113,110.1638912,170.5412674
5,40,2,109.5,rec,113,109.9012811,172.6465134
5,50,2,109.5,rec,116,109.7685147,173.9848774
5,2.5,5,109.5,rec,141,158.0087842,134.7418873
5,5,5,109.5,rec,146,131.8831565,146.4549627
5,10,5,109.5,rec,149,118.8269276,157.816376
5,20,5,109.5,rec,155,112.7813786,166.7432562
5,30,5,109.5,rec,158,111.1650873,170.5412674
5,40,5,109.5,rec,159,110.5051241,172.6465134
5,50,5,109.5,rec,160,110.1721388,173.9848774
5,2.5,20,109.5,rec,145,0,134.7418873
5,5,20,109.5,rec,146,0,146.4549627
5,10,20,109.5,rec,150,158.0087842,157.816376
5,20,20,109.5,rec,153,123.1917854,166.7432562
5,30,20,109.5,rec,164,116.2829897,170.5412674
5,40,20,109.5,rec,167,113.5621767,172.6465134
5,50,20,109.5,rec,173,112.2065488,173.9848774
9.22,10.83,15.985,111.8,rec,151.94,156.3438079,150.1196841
15.08,11.44,15.985,111.8,rec,152.78,151.7028343,142.8198991
19.99,12.53,15.985,111.8,rec,148.3,145.1053026,139.6823061
25.08,12.89,15.985,111.8,rec,146.01,141.6686798,136.5300214
30.1,13.6,15.985,111.8,rec,149.2,138.2135817,134.5683346
85.8,15.2,15.985,111.8,rec,141.36,124.8261156,123.1164295
9.66,5.74,15.985,111.8,rec,147.06,0,138.8205776
9.83,6.97,15.985,111.8,rec,147.95,0,141.7002236
9.31,8.14,15.985,111.8,rec,148.34,0,145.1911416
9.22,10.83,15.985,111.8,rec,151.94,156.3438079,150.1196841
9.63,15.8,15.985,111.8,rec,153.4,136.4660522,155.4848968
9.45,21.25,15.985,111.8,rec,153.37,127.5499476,160.1249153
9.45,26.34,15.985,111.8,rec,161.01,123.1305232,162.9742962
9.08,31.61,15.985,111.8,rec,159.89,120.1052986,165.6261351
12.1,27,18.6,98,rec,151,102.7751301,156.5720724
14,30.5,19.9,98,rec,152,102.5618725,156.1769985
14.2,10.9,6.8,98,rec,122,102.9732372,136.4260319
15.3,11.1,12,98,rec,144,106.6080162,135.3058708
16.3,10.5,5.1,98,rec,144,101.7478714,132.9660215
11.2,15.8,22.1,98,rec,144,109.1588848,148.416344
8,18.8,26.9,98,rec,145,107.816531,157.4125769
14.3,30.1,6.8,98,rec,142,99.5920949,155.6031075
11.1,14,17.7,98,rec,145,108.2267768,146.2685589
13.7,31.1,3.9,98,rec,144,98.85839664,156.8529579
10.2,15.5,11.5,98,rec,147,103.7708367,149.8146109
27.7,12.2,10,98,rec,147,103.6525916,125.8109903
29.2,10.6,4.4,98,rec,145,100.6218335,122.455429
28,12.1,13,98,rec,145,105.3782282,125.4713618
50,50,3,68.5,rec,81.2,67.13934377,131.1760352
50,50,5,68.5,rec,120.4,66.22466705,131.1760352
50,50,6,68.5,rec,115.2,65.76492246,131.1760352
50,50,8,68.5,rec,120.6,64.84038465,131.1760352
250,50,8,68.5,rec,59.6,66.47937797,92.92569453
200,50,8,68.5,rec,91.1,66.16958413,97.20612059
150,50,8,68.5,rec,101.2,65.76492246,103.3761562
100,50,8,68.5,rec,118.6,65.25213826,113.1204953
25,50,8,68.5,rec,130,65.25213826,148.0128076
20,50,8,68.5,rec,124,65.52030258,152.6789763
15,50,8,68.5,rec,125.2,65.91200201,158.006714
10,50,8,68.5,rec,128.9,66.47937797,164.1629308
9.56,10.29,33.94,62,cyl,157,0,137.0796911
9.56,14.71,34.15,62,cyl,158,0,145.1778142
10.29,19.85,34.52,62,cyl,159,0,149.9372604
9.56,25,31.79,62,cyl,160,32.35423787,155.7396824
13.97,20.59,31.83,62,cyl,158,0,144.2348689
15.44,15.44,33.97,62,cyl,157,0,135.3546393
15.44,25,34.4,62,cyl,159,18.47185861,146.280195
19.85,24.26,32.1,62,cyl,159,17.7350317,140.0209007
25,24.26,32.22,62,cyl,156,16.45037941,134.6469305
20.59,29.41,34.19,62,cyl,158,27.77508736,143.5412759
20.59,19.85,34.07,62,cyl,158,0,134.4923368
39.71,40.44,33.89,62,cyl,155,38.88142199,135.7828435
9.56,10.29,33.94,106,cyl,159,171.3840552,150.2317243
9.56,14.71,34.15,106,cyl,164,139.0768147,155.7452742
10.29,19.85,34.52,106,cyl,165,127.8965634,159.0172531
9.56,25,31.79,106,cyl,165,119.7340702,163.0319094
13.97,20.59,31.83,106,cyl,163,126.7283212,155.0995948
15.44,15.44,33.97,106,cyl,160,138.7580605,149.0673057
15.44,25,34.4,106,cyl,163,123.8398655,156.5012462
19.85,24.26,32.1,106,cyl,159,124.0018604,152.225603
25,24.26,32.22,106,cyl,157,124.2696875,148.5907234
20.59,29.41,34.19,106,cyl,162,121.2971412,154.6252387
20.59,19.85,34.07,106,cyl,160,130.3219589,148.4867066
39.71,40.44,33.89,106,cyl,156,117.1965035,149.3559865
10,20,10,82,cyl,153,79.17827966,154.235517
10,30,10,82,cyl,154,80.41563525,160.7486012
10,50,10,82,cyl,153.6,81.29667148,167.1994166
10,100,10,82,cyl,87,81.79087689,173.0280748
30,45,10,82,cyl,152,80.64844238,148.9644181
30,50,10,82,cyl,153,80.81237187,150.9483348
30,60,10,82,cyl,152,81.06194,154.235517
30,90,10,82,cyl,155,81.47262332,160.7486012
30,100,10,82,cyl,97,81.5506824,162.2419612
30,150,10,82,cyl,89,81.76569729,167.1994166
10,20,20,82,cyl,153.6,76.32971443,154.235517
10,30,20,82,cyl,155,78.82383546,160.7486012
10,50,20,82,cyl,155,80.59201874,167.1994166
10,100,20,82,cyl,85,81.58164361,173.0280748
30,45,20,82,cyl,152.6,79.29161267,148.9644181
30,50,20,82,cyl,154.6,79.62074794,150.9483348
30,60,20,82,cyl,154.2,80.121458,154.235517
30,90,20,82,cyl,153.3,80.94451776,160.7486012
30,100,20,82,cyl,155.7,81.10084077,162.2419612
30,150,20,82,cyl,102.5,81.53125585,167.1994166
17,8,5,103,cyl,104,108.7272154,135.9329953
14,11,12,103,cyl,140,114.5138533,144.0085575
14,13,15,103,cyl,148,115.3742116,146.7554298
15,25,16,103,cyl,153,109.3268561,156.1204452
15,30,25,103,cyl,156,110.843848,158.8064049
17,28,27,103,cyl,152,112.6522721,155.9409241
17,8,2,99,cyl,100,100.5544306,133.9192517
20,5,5,99,cyl,114,103.5955724,125.1681309
20,8,7,99,cyl,128,104.1342063,131.450445
2.7,3.3,7,109,cyl,157,149.6029224,153.2191225
2.7,3.3,7,139,cyl,152,0,163.9432565
2.7,3.3,7,107,cyl,156,140.7679591,152.5553619
2.6,3.4,9,107,cyl,152,152.7985775,153.5905936
10,5,40,110,cyl,145,0,140.3827862
10,10,40,110,cyl,153,0,150.5524324
10,20,40,110,cyl,163,145.0418074,160.4895212
10,30,40,110,cyl,165,127.6359481,165.3982542
10,40,40,110,cyl,168,120.9265104,168.3300276
10,50,40,110,cyl,165,117.4779809,170.2801735
10,65,40,110,cyl,166,114.7353914,172.2275012
10,70,40,110,cyl,168,114.1530604,172.7139601
10,80,40,110,cyl,171,113.2710432,173.5244371
10,90,40,110,cyl,170,112.6437193,174.1725833
10,100,40,110,cyl,120,112.1814128,174.7027451
10,110,40,110,cyl,115,111.8308081,175.1444594
10,140,40,110,cyl,111,111.1691272,176.1159862
5,2,10,109,cyl,151,0,136.8651177
5,2.5,10,109,cyl,152,0,139.8695413
5,5,10,109,cyl,154,146.8214676,150.1781212
5,7.5,10,109,cyl,159,130.7579576,156.2410271
5,20,10,109,cyl,166,114.0411316,168.1845188
5,32.5,10,109,cyl,166,111.2190458,172.1307791
5,40,10,109,cyl,170,110.5376334,173.4438927
5,60,10,109,cyl,124,109.7351229,175.4624466
5,75,10,109,cyl,122,109.4849231,176.3135654
14,7,30,109,cyl,155,0,139.8695413
14,9,30,109,cyl,156,0,143.4888949
14,12,30,109,cyl,155,163.9533962,147.8242965
14,21,30,109,cyl,158,132.5507746,156.2410271
14,56,30,109,cyl,163,114.4083373,168.1845188
14,91,30,109,cyl,166,111.3787877,172.1307791
14,112,30,109,cyl,170,110.6480432,173.4438927
14,154,30,109,cyl,124,109.9249168,175.0840939
14,196,30,109,cyl,122,109.5913371,176.0677096
29.1,18.6,51.3,105.8,cyl,142.6,146.4608615,141.9322752
39.8,18.8,51.3,105.8,cyl,136,141.3406885,137.4215577
49.2,19,51.3,105.8,cyl,132.8,137.4301433,134.6318663
50,18.6,50,105.8,cyl,132.8,136.6105031,134.1364255
50,36.3,100,105.8,cyl,142.3,147.8381714,143.9151152
3,4.5,7.2,107,cyl,149,130.1717203,155.6545848
3,6,7,107,cyl,156.2,122.0395585,159.7593461
3,9,7,107,cyl,154.1,115.234338,164.854264
3,12,7,107,cyl,156.2,112.216015,167.8961643
5,15,3,107,cyl,154.5,109.0756292,164.854264
1,3,3,107,cyl,154.1,117.6838755,164.854264
3,12,7,107,cyl,156.2,112.216015,167.8961643
3,12,3,107,cyl,153.7,109.2148995,167.8961643
3,12,1.5,107,cyl,154.3,108.1039502,167.8961643
3,12,1.1,107,cyl,154.7,107.8089016,167.8961643
10,10,40,101,cyl,148,142.2091735,147.2581249
10,30,40,101,cyl,157,109.9177012,163.7969698
10,50,40,101,cyl,161,104.9166673,169.2180371
10,70,40,101,cyl,164,103.1954911,171.9187573
10,90,40,101,cyl,166,102.4030173,173.5369373
50,19,43,106,cyl,132.5,131.811624,134.5284924
10,10,20,103,cyl,128,125.3312972,147.9752918
10,30,20,103,cyl,114,108.2575608,164.1447261
10,50,20,103,cyl,108,105.3201599,169.4486083
10,90,20,103,cyl,104,103.8325512,173.6748958
2,7.5,0.02,64,cyl,107,63.96108303,161.7923714
2,6,0.02,64,cyl,110,63.94511726,158.3405657
2,1.8,0.02,64,cyl,112,63.75655626,133.3982531
2,1.6,0.02,64,cyl,115,63.72872321,130.6418775
2,7.5,0.04,64,cyl,110,63.92215314,161.7923714
2,6,0.04,64,cyl,112,63.89020879,158.3405657
2,1.8,0.04,64,cyl,114,63.51260149,133.3982531
2,1.6,0.04,64,cyl,117,63.45681094,130.6418775
2,7.5,0.02,73,cyl,90,72.97560771,162.7485968
2,6,0.02,73,cyl,100,72.96560214,159.4817924
2,1.8,0.02,73,cyl,104,72.84749588,135.9579066
2,1.6,0.02,73,cyl,106,72.83007233,133.3710463
2,7.5,0.04,73,cyl,94,72.95121224,162.7485968
2,6,0.04,73,cyl,105,72.93119795,159.4817924
2,1.8,0.04,73,cyl,109,72.69486637,135.9579066
2,1.6,0.04,73,cyl,111,72.65998881,133.3710463
